,STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,geometry,total_households,households_snap,households_public_assistance_income,impacted,impacted_pct
1987,42,101,002500,1400000US42101002500,42101002500,25,Census Tract 25,PA,Philadelphia County,Pennsylvania,CT,393627,0,"POLYGON ((-8366126.607058896 4856305.01242906, -8366089.537668462 4856519.4401412355, -8366079.852872762 4856576.060282325, -8366059.258766966 4856701.061274724, -8366025.528961255 4856898.365692844, -8365855.544098814 4856839.5659531, -8365685.2252779 4856780.040645095, -8365514.349859534 4856716.886135037, -8365304.401299896 4856643.714515028, -8365090.6678775735 4856568.656091691, -8365146.772900934 4856265.669729027, -8365233.379464771 4855967.047744904, -8365629.454213013 4856035.568865249, -8365805.450327958 4856066.635800068, -8365981.780401374 4856095.815579644, -8366155.550126501 4856126.592355427, -8366126.607058896 4856305.01242906))",2063.0,505.0,128.0,505.0,24.5
1988,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1989,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1990,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1991,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1992,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1993,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1994,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1995,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1996,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1997,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1998,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
1999,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
2000,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
2001,42,101,003002,1400000US42101003002,42101003002,30.02,Census Tract 30.02,PA,Philadelphia County,Pennsylvania,CT,226952,0,"POLYGON ((-8368386.504041489 4856141.545257318, -8368328.0613088235 4856497.372891575, -8368152.065193879 4856467.030503316, -8367923.971557244 4856428.267874164, -8367623.408932104 4856377.746022709, -8367680.181872406 4856022.213016583, -8367710.572093394 4855842.781833806, -8368004.67818807 4855895.333349569, -8368241.232106006 4855935.545608718, -8368416.448984513 4855965.0153460065, -8368386.504041489 4856141.545257318))",1570.0,316.0,61.0,316.0,20.1
2002,42,101,003600,1400000US42101003600,42101003600,36,Census Tract 36,PA,Philadelphia County,Pennsylvania,CT,964586,0,"POLYGON ((-8371209.566328008 4856161.434103436, -8371170.3818672495 4856429.719655302, -8370951.527748348 4856389.650573769, -8370603.209061655 4856330.127961096, -8370427.101627221 4856301.963727178, -8370485.76699887 4855947.30445893, -8370370.996603861 4855928.2870661495, -8370310.995398325 4855917.834774166, -8370137.225673196 4855888.365176801, -8369960.672960798 4855859.9118553735, -8369582.631970064 4855796.472855523, -8369670.4630483 4855264.443179535, -8369771.54114594 4854660.15588899, -8370073.884882935 4854585.98335339, -8370156.149986631 4854565.2267546905, -8370390.143556277 4854507.456869042, -8370674.1195772905 4854470.443676585, -8370463.837059184 4854990.237642999, -8370606.659965871 4855283.168979183, -8371186.634512903 4856052.844391782, -8371209.566328008 4856161.434103436))",2681.0,1439.0,440.0,1439.0,53.7
2003,42,101,003600,1400000US42101003600,42101003600,36,Census Tract 36,PA,Philadelphia County,Pennsylvania,CT,964586,0,"POLYGON ((-8371209.566328008 4856161.434103436, -8371170.3818672495 4856429.719655302, -8370951.527748348 4856389.650573769, -8370603.209061655 4856330.127961096, -8370427.101627221 4856301.963727178, -8370485.76699887 4855947.30445893, -8370370.996603861 4855928.2870661495, -8370310.995398325 4855917.834774166, -8370137.225673196 4855888.365176801, -8369960.672960798 4855859.9118553735, -8369582.631970064 4855796.472855523, -8369670.4630483 4855264.443179535, -8369771.54114594 4854660.15588899, -8370073.884882935 4854585.98335339, -8370156.149986631 4854565.2267546905, -8370390.143556277 4854507.456869042, -8370674.1195772905 4854470.443676585, -8370463.837059184 4854990.237642999, -8370606.659965871 4855283.168979183, -8371186.634512903 4856052.844391782, -8371209.566328008 4856161.434103436))",2681.0,1439.0,440.0,1439.0,53.7
2004,42,101,003600,1400000US42101003600,42101003600,36,Census Tract 36,PA,Philadelphia County,Pennsylvania,CT,964586,0,"POLYGON ((-8371209.566328008 4856161.434103436, -8371170.3818672495 4856429.719655302, -8370951.527748348 4856389.650573769, -8370603.209061655 4856330.127961096, -8370427.101627221 4856301.963727178, -8370485.76699887 4855947.30445893, -8370370.996603861 4855928.2870661495, -8370310.995398325 4855917.834774166, -8370137.225673196 4855888.365176801, -8369960.672960798 4855859.9118553735, -8369582.631970064 4855796.472855523, -8369670.4630483 4855264.443179535, -8369771.54114594 4854660.15588899, -8370073.884882935 4854585.98335339, -8370156.149986631 4854565.2267546905, -8370390.143556277 4854507.456869042, -8370674.1195772905 4854470.443676585, -8370463.837059184 4854990.237642999, -8370606.659965871 4855283.168979183, -8371186.634512903 4856052.844391782, -8371209.566328008 4856161.434103436))",2681.0,1439.0,440.0,1439.0,53.7
2005,42,101,003600,1400000US42101003600,42101003600,36,Census Tract 36,PA,Philadelphia County,Pennsylvania,CT,964586,0,"POLYGON ((-8371209.566328008 4856161.434103436, -8371170.3818672495 4856429.719655302, -8370951.527748348 4856389.650573769, -8370603.209061655 4856330.127961096, -8370427.101627221 4856301.963727178, -8370485.76699887 4855947.30445893, -8370370.996603861 4855928.2870661495, -8370310.995398325 4855917.834774166, -8370137.225673196 4855888.365176801, -8369960.672960798 4855859.9118553735, -8369582.631970064 4855796.472855523, -8369670.4630483 4855264.443179535, -8369771.54114594 4854660.15588899, -8370073.884882935 4854585.98335339, -8370156.149986631 4854565.2267546905, -8370390.143556277 4854507.456869042, -8370674.1195772905 4854470.443676585, -8370463.837059184 4854990.237642999, -8370606.659965871 4855283.168979183, -8371186.634512903 4856052.844391782, -8371209.566328008 4856161.434103436))",2681.0,1439.0,440.0,1439.0,53.7
2006,42,101,003600,1400000US42101003600,42101003600,36,Census Tract 36,PA,Philadelphia County,Pennsylvania,CT,964586,0,"POLYGON ((-8371209.566328008 4856161.434103436, -8371170.3818672495 4856429.719655302, -8370951.527748348 4856389.650573769, -8370603.209061655 4856330.127961096, -8370427.101627221 4856301.963727178, -8370485.76699887 4855947.30445893, -8370370.996603861 4855928.2870661495, -8370310.995398325 4855917.834774166, -8370137.225673196 4855888.365176801, -8369960.672960798 4855859.9118553735, -8369582.631970064 4855796.472855523, -8369670.4630483 4855264.443179535, -8369771.54114594 4854660.15588899, -8370073.884882935 4854585.98335339, -8370156.149986631 4854565.2267546905, -8370390.143556277 4854507.456869042, -8370674.1195772905 4854470.443676585, -8370463.837059184 4854990.237642999, -8370606.659965871 4855283.168979183, -8371186.634512903 4856052.844391782, -8371209.566328008 4856161.434103436))",2681.0,1439.0,440.0,1439.0,53.7
